"Week","Date","Gm1","Gm2","Gm3","SS","HCP","HS","Avg<br />Before","Avg<br />After","Todays<br />Avg","+/-<br />Avg"
"1","08/05/2021","168","184","149","501","90","591","186","186","167","-19"
"2","08/12/2021","164","163","169","496","90","586","186","186","165","-21"
"3","08/19/2021","147","171","188","506","90","596","186","167","168","-18"
"4","08/26/2021","156","182","199","537","141","678","167","170","179","12"
"5","09/02/2021","203","136","174","513","135","648","170","170","171","1"
"6","09/09/2021","186","227","191","604","135","739","170","175","201","31"
"7","09/16/2021","213","173","169","555","120","675","175","176","185","10"
"8","09/23/2021","166","166","166","0","615","0","176","176","0","0"
"9","09/30/2021","182","233","193","608","117","725","176","180","202","26"
"10","10/07/2021","190","196","186","572","108","680","180","181","190","10"
"11","10/14/2021","145","227","179","551","105","656","181","181","183","2"
"12","10/21/2021","206","178","181","565","105","670","181","182","188","7"
"13","10/28/2021","209","264","180","653","102","755","182","185","217","35"
"14","11/04/2021","166","190","167","523","93","616","185","184","174","-11"
"15","11/11/2021","181","210","191","582","96","678","184","184","194","10"
"16","11/18/2021","180","190","140","510","96","606","184","183","170","-14"
"17","12/02/2021","193","199","161","553","99","652","183","183","184","1"
"18","12/09/2021","163","174","195","532","99","631","183","183","177","-6"
"19","01/13/2022","143","177","187","507","99","606","183","182","169","-14"
"20","01/20/2022","177","218","146","541","102","643","182","182","180","-2"
"21","01/27/2022","156","167","187","510","102","612","182","181","170","-12"
"22","02/03/2022","222","171","168","561","105","666","181","182","187","6"
"23","02/10/2022","171","210","207","588","102","690","182","182","196","14"
"24","02/17/2022","289","177","236","702","102","804","182","185","234","52"
"25","02/24/2022","191","183","167","541","93","634","185","184","180","-5"
"26","03/03/2022","195","191","169","555","96","651","184","184","185","1"
"27","03/10/2022","238","204","180","622","96","718","184","185","207","23"
"28","03/17/2022","247","211","221","679","93","772","185","187","226","41"
"29","03/24/2022","233","243","256","732","87","819","187","189","244","57"
"30","03/31/2022","163","192","202","557","81","638","189","189","185","-4"
"31","04/07/2022","156","143","196","495","81","576","189","188","165","-24"
"32","04/14/2022","168","191","174","533","84","617","188","188","177","-11"
"33","04/21/2022","165","258","187","610","84","694","188","188","203","15"
"34","04/28/2022","157","267","190","614","84","698","188","188","204","16"
"36","05/12/2022","180","150","204","534","81","615","189","189","178","-11"
